"Y";"log";"ridge";"lasso";"elastic";"foret";"adabo";"logibo";"svm";"pm";"arbre"
"0";0,520906599920538;0,516533403744605;0,508609754727296;0,500167764344313;0,482;0,496015277517877;0,419270106812262;0,480535219388092;0,328836292028427;0,608333333333333
"0";0,265796522602677;0,376093187756662;0,323835093933128;0,375814988686932;0,416;0,468960275896572;0,424919297529033;0,207224797108526;0,335957407951355;0,595505617977528
"1";0,899107549531686;0,887050907327969;0,821746546590436;0,893820071929113;0,658;0,74767433019675;0,725596936534991;0,879823129675523;0,328836292028427;0,692307692307692
"0";0,572373515871845;0,54950478563766;0,546306069995833;0,541458751774047;0,508;0,559603196637456;0,589402240513307;0,527675239560628;0,335957407951355;0,346645367412141
"0";0,17770273349105;0,131804009692551;0,132761376272213;0,139976613023177;0,128;0,09166511369285;0,116005899965431;0,223172356891773;0,331058144569397;0,103006407097092
"0";0,387191143050786;0,322354619989377;0,421679620844885;0,384098759769166;0,368;0,329818829248655;0,345258476047879;0,328648680994455;0,331058144569397;0,549763033175355
"0";0,0440263640663789;0,0646894573969916;0,0924778381742507;0,0696416688469362;0,086;0,0587922221504699;0,0807650982648362;0,0635258054609767;0,328836292028427;0,117021276595745
"0";0,0596064013612565;0,0886589069001269;0,093254041214522;0,0760133901618882;0,044;0,0529861608532874;0,0610921882759364;0,0812473455402487;0,33885532617569;0,153571428571429
"1";0,957900534548777;0,952264235545874;0,88302448064922;0,936672833599776;0,72;0,853851038532843;0,876146634861773;0,925451393992034;0,33885532617569;0,620553359683794
"1";0,751582375893079;0,731222787257483;0,620772071023;0,738978490491894;0,654;0,78766327169455;0,712816747442236;0,706822541886726;0,331058144569397;0,388316151202749
"0";0,0381077214497097;0,0699842645539048;0,0807959351825395;0,0659914323765179;0,096;0,0400524109829648;0,0716399909652745;0,067029652522185;0,331058144569397;0,103006407097092
"0";0,101651871363138;0,225272537615196;0,219113604797681;0,195500967802026;0,258;0,137511752323471;0,155329205217972;0,166187049123697;0,331058144569397;0,103006407097092
"0";0,0133489757944869;0,0308971929075462;0,0323592716174662;0,0228659859304957;0,126;0,031750012628514;0,0496671147808501;0,0351000008309368;0,33885532617569;0,153571428571429
"0";0,0619972404273975;0,0835793051500366;0,107644824991746;0,0833251797467651;0,134;0,0769283642951373;0,120694710776369;0,12051216428406;0,33885532617569;0,153571428571429
"1";0,512232901514259;0,481857656948214;0,548962361220761;0,546700282612811;0,514;0,608532422140713;0,563693457915589;0,489084215692633;0,331058144569397;0,674273858921162
"1";0,652661656152346;0,658352429942685;0,564593980986121;0,585693400006718;0,592;0,565570327965831;0,534067900877727;0,618042246095496;0,338409900665283;0,29595015576324
"0";0,0279384925056377;0,0464890612340972;0,0544815274843133;0,0443081307336605;0,022;0,0434038827320205;0,0536083298407828;0,0595419555387661;0,328836292028427;0,117021276595745
"1";0,794360549825278;0,799721379568489;0,826466255122309;0,826260574082211;0,748;0,844096462764869;0,853895098417097;0,820391148690185;0,33885532617569;0,66005946481665
"0";0,115246280713346;0,0937437872585356;0,100481167701162;0,0826038648934943;0,154;0,0882317241585286;0,118805504016168;0,133506732511156;0,328836292028427;0,117021276595745
"0";0,0227296796324362;0,0485588373941585;0,0514557960007939;0,0414575056937971;0,098;0,0373610294671821;0,0468984249606314;0,0375194545124042;0,335957407951355;0,100866021395823
"0";0,358168080976225;0,384884730416127;0,30612997396312;0,326369247626111;0,514;0,344723448996389;0,38502625363608;0,388100820178122;0,33885532617569;0,153571428571429
"1";0,163283746759997;0,149531620311347;0,213686164959002;0,170162449785296;0,262;0,232284704415179;0,173363898870886;0,144304711727871;0,43756365776062;0,29595015576324
"0";0,0465007815936336;0,066270825887012;0,117722971745376;0,0805568800057379;0,084;0,0998476450460494;0,111788243987122;0,0634838660732463;0,33885532617569;0,275229357798165
"1";0,840538461999796;0,824628376493553;0,793361270784036;0,812030847625559;0,76;0,739256524449637;0,736841044826788;0,809256395557373;0,335957407951355;0,671905697445973
"1";0,567622394788411;0,565596423288805;0,566550136972151;0,582496601163097;0,676;0,569262591532767;0,638481690527216;0,581163772617591;0,335957407951355;0,671905697445973
"0";0,0940458204571175;0,120578473193541;0,160605336157196;0,130242724645847;0,126;0,15827024344384;0,183047189234602;0,121834540803963;0,328836292028427;0,29595015576324
"1";0,662310927240686;0,618625249032039;0,493724954160033;0,500954426725927;0,426;0,488337941900725;0,498369438039613;0,624264878512952;0,328836292028427;0,692307692307692
"0";0,0543750673048557;0,0886675771793513;0,107747576453833;0,0878083598581529;0,104;0,0838679014921322;0,0999218186716782;0,0890930060071439;0,33885532617569;0,153571428571429
"0";0,0779792068285285;0,0818786513141727;0,108684295465925;0,0726474304051564;0,164;0,0687593399724927;0,0996875802580591;0,111066522256318;0,335957407951355;0,100866021395823
"0";0,0478184659685568;0,0737830530349569;0,116808143745808;0,0914817638537453;0,25;0,0788590255342982;0,157530614775617;0,0870946227987418;0,335957407951355;0,100866021395823
"0";0,076714190597831;0,0770345781080375;0,084041132188745;0,0690763711554607;0,112;0,0484725452447063;0,0619597540650163;0,10540284148487;0,331058144569397;0,103006407097092
"1";0,771515003258503;0,648556797161925;0,562447398177499;0,552323033744193;0,546;0,581246402413035;0,497986018635065;0,775298128199918;0,328836292028427;0,351931330472103
"1";0,681042870104705;0,593982877045388;0,593845756523732;0,604776640534885;0,494;0,657543136101892;0,576489193305012;0,650580368268699;0,43756365776062;0,692307692307692
"0";0,55164214395545;0,453249228779583;0,48778602355982;0,450481442306876;0,478;0,574435771683604;0,530470608997509;0,456044525411369;0,331058144569397;0,611570247933884
"1";0,798406312650189;0,777173654561184;0,802246230369036;0,791025582906453;0,716;0,765157102536166;0,74450264903695;0,81878104233974;0,328836292028427;0,692307692307692
"0";0,180390197826037;0,166283853683489;0,190671537526637;0,166341287047733;0,378;0,157505897408226;0,204521976032027;0,107042553766232;0,335957407951355;0,346645367412141
"0";0,488719756400323;0,409117440725322;0,481398768722632;0,454781604199236;0,424;0,392295138292904;0,375339831888288;0,458351564779263;0,335957407951355;0,346645367412141
"1";0,339527052750431;0,374453585076323;0,468530499004978;0,37897810640408;0,38;0,434534582648423;0,375480823798426;0,283955752359515;0,144469007849693;0,346645367412141
"0";0,0589681491596627;0,0989240946284422;0,0830061752278947;0,078658064455655;0,082;0,0491657906327972;0,0673120709148375;0,0993968317311016;0,328836292028427;0,117021276595745
"0";0,0136330959221768;0,0194764105136046;0,0432755846494741;0,0237002235126677;0,034;0,0247085948025017;0,0516027258030117;0,0260455393871377;0,331058144569397;0,103006407097092
"1";0,6005302663862;0,577623321877734;0,567955320611515;0,577203697558979;0,414;0,6518584677649;0,528896352317286;0,723388963788785;0,335957407951355;0,671905697445973
"0";0,065669053322995;0,0931412512311864;0,0943776768924153;0,0752859370918022;0,13;0,0439791426675043;0,0788262530885561;0,0855458608114325;0,331058144569397;0,103006407097092
"0";0,110229029454954;0,129340822743513;0,0980325682139262;0,100158961612759;0,132;0,0656842179816367;0,0704691656611662;0,229154345359819;0,335957407951355;0,100866021395823
"0";0,261030242866945;0,216335503835857;0,240438549466646;0,223013701286478;0,376;0,23489827588212;0,207504636292338;0,246241775093168;0,33885532617569;0,153571428571429
"1";0,904806120184327;0,861948558238267;0,802782692079653;0,829806086219711;0,75;0,811834462783237;0,822177787436646;0,88806635265717;0,335957407951355;0,671905697445973
"0";0,137401842282684;0,177002108583861;0,12188845883108;0,133194607675462;0,252;0,09039940958273;0,147693085751202;0,201912013698164;0,33885532617569;0,153571428571429
"0";0,637422142813479;0,57957807332579;0,598935193363218;0,567615265184756;0,62;0,546589654930811;0,62903525474563;0,57026753664839;0,328836292028427;0,692307692307692
"1";0,836253995129454;0,834260529367826;0,808545215665754;0,830544820255903;0,786;0,721566426338411;0,697979688317216;0,84068435859502;0,331058144569397;0,674273858921162
"0";0,0331685909078645;0,0458870569101902;0,0566252073227075;0,0399609983419482;0,142;0,0449504857447524;0,0609014684947536;0,0502688408124359;0,328836292028427;0,117021276595745
"0";0,0493539938986367;0,0844857498627799;0,0762649797654898;0,0677681269988853;0,068;0,0553632219926419;0,0715894284901462;0,107222012557042;0,335957407951355;0,100866021395823
"0";0,0215176754596797;0,0307662406402664;0,0406640886008904;0,0260662555753473;0,034;0,0428503623092047;0,0550943399211386;0,0403568097913082;0,328836292028427;0,117021276595745
"1";0,815396814150662;0,776647313491164;0,660205450011133;0,755022059058685;0,628;0,643143281341564;0,663508708190014;0,731044208175909;0,33885532617569;0,66005946481665
"0";0,0429114829937561;0,0560611549560841;0,0839932568028179;0,0676074946826046;0,036;0,0625779029124296;0,0811803795660737;0,0505820006982125;0,33885532617569;0,153571428571429
"0";0,0517102468322896;0,0816435382377067;0,140912764435713;0,11348721510682;0,172;0,121701725558087;0,0858298552745581;0,0543590183949518;0,335957407951355;0,346645367412141
"0";0,207405559728597;0,17969721332823;0,157801635383334;0,164927339974615;0,242;0,216115100913651;0,187361901409159;0,176928910908556;0,33885532617569;0,275229357798165
"0";0,900590335205742;0,836663467597123;0,73274145680967;0,820824957126589;0,742;0,676416912102767;0,750318363946973;0,848896766499712;0,33885532617569;0,66005946481665
"0";0,0724703931977173;0,0927527543387497;0,0863831947376736;0,0777577421811531;0,154;0,064124489633214;0,109869082090181;0,107142938678693;0,335957407951355;0,100866021395823
"0";0,267257459543857;0,303502499194468;0,306342895607676;0,285911024506402;0,336;0,227173974342962;0,268191245771732;0,281535882114789;0,328836292028427;0,117021276595745
"1";0,889821173152156;0,823166521033837;0,810729955160185;0,816690944458832;0,672;0,656348115379896;0,674357959820266;0,832961139124519;0,33885532617569;0,620553359683794
"0";0,0437040259498187;0,0487207799150682;0,0860063870312682;0,0616799855840449;0,082;0,0490020152293808;0,0570636752637318;0,055485234305711;0,331058144569397;0,103006407097092
"1";0,675654388447666;0,593046366334753;0,439253047951747;0,53265965335487;0,358;0,3622983416656;0,360318194947992;0,538953438979562;0,335957407951355;0,100866021395823
"0";0,00767181232272641;0,0166717777065119;0,0412581221485965;0,0192858960953414;0,022;0,0172495242068929;0,0516027258030117;0,0215019107048803;0,331058144569397;0,103006407097092
"1";0,779023053230095;0,751411043001809;0,572231424206473;0,714528897253817;0,568;0,487890760999097;0,518005546894291;0,794125278938143;0,328836292028427;0,29595015576324
